Position_x,Position_y,value
0.7,0.75,1.52822
0.725,0.75,1.52822
0.75,0.75,1.52821
0.775,0.75,1.52822
0.8,0.75,1.52835
0.825,0.75,1.52855
0.85,0.75,1.52663
0.875,0.75,1.5192
0.9,0.75,1.52764
0.925,0.75,1.63291
0.95,0.75,1.82475
0.975,0.75,1.53661
1,0.75,-0.5
0,0.725,1.5
0.025,0.725,1.52767
0.05,0.725,1.53043
0.075,0.725,1.52881
0.1,0.725,1.5282
0.125,0.725,1.52818
0.15,0.725,1.52821
0.175,0.725,1.52822
0.2,0.725,1.52822
0.225,0.725,1.52822
0.25,0.725,1.52822
0.275,0.725,1.52822
0.3,0.725,1.52822
0.325,0.725,1.52822
0.35,0.725,1.52822
0.375,0.725,1.52822
0.4,0.725,1.52822
0.425,0.725,1.52822
0.45,0.725,1.52822
0.475,0.725,1.52822
0.5,0.725,1.52822
0.525,0.725,1.52822
0.55,0.725,1.52822
0.575,0.725,1.52822
0.6,0.725,1.52822
0.625,0.725,1.52822
0.65,0.725,1.52822
0.675,0.725,1.52822
0.7,0.725,1.52822
0.725,0.725,1.52822
0.75,0.725,1.52821
0.775,0.725,1.52822
0.8,0.725,1.52835
0.825,0.725,1.52855
0.85,0.725,1.52663
0.875,0.725,1.5192
0.9,0.725,1.52764
0.925,0.725,1.63291
0.95,0.725,1.82476
0.975,0.725,1.53661
1,0.725,-0.5
0,0.7,1.5
0.025,0.7,1.52767
0.05,0.7,1.53043
0.075,0.7,1.52881
0.1,0.7,1.5282
0.125,0.7,1.52818
0.15,0.7,1.52821
0.175,0.7,1.52822
0.2,0.7,1.52822
0.225,0.7,1.52822
0.25,0.7,1.52822
0.275,0.7,1.52822
0.3,0.7,1.52822
0.325,0.7,1.52822
0.35,0.7,1.52822
0.375,0.7,1.52822
0.4,0.7,1.52822
0.425,0.7,1.52822
0.45,0.7,1.52822
0.475,0.7,1.52822
0.5,0.7,1.52822
0.525,0.7,1.52822
0.55,0.7,1.52822
0.575,0.7,1.52822
0.6,0.7,1.52822
0.625,0.7,1.52822
0.65,0.7,1.52822
0.675,0.7,1.52822
0.7,0.7,1.52822
0.725,0.7,1.52822
0.75,0.7,1.52821
0.775,0.7,1.52822
0.8,0.7,1.52835
0.825,0.7,1.52855
0.85,0.7,1.52663
0.875,0.7,1.5192
0.9,0.7,1.52764
0.925,0.7,1.63291
0.95,0.7,1.82476
0.975,0.7,1.53661
1,0.7,-0.5
0,0.675,1.5
0.025,0.675,1.52767
0.05,0.675,1.53043
0.075,0.675,1.52881
0.1,0.675,1.5282
0.125,0.675,1.52818
0.15,0.675,1.52821
0.175,0.675,1.52822
0.2,0.675,1.52822
0.225,0.675,1.52822
0.25,0.675,1.52822
0.275,0.675,1.52822
0.3,0.675,1.52822
0.325,0.675,1.52822
0.35,0.675,1.52822
0.375,0.675,1.52822
0.4,0.675,1.52822
0.425,0.675,1.52822
0.45,0.675,1.52822
0.475,0.675,1.52822
0.5,0.675,1.52822
0.525,0.675,1.52822
0.55,0.675,1.52822
0.575,0.675,1.52822
0.6,0.675,1.52822
0.625,0.675,1.52822
0.65,0.675,1.52822
0.675,0.675,1.52822
